id;endereco;cidade;estado;cep
1;buttery thongs;worldly;operating whether;only sarcastic
2;if;incidentally oh;yuck above;creator brace
3;consign nectarine;towards before until;consequently successfully vaguely;eek with quintuple
4;instead inside;after;offset;quixotic birdcage
5;oxidize to;till fooey chap;furthermore beneath abaft;why consequently fully
6;puny silently;scoop fooey;into delectable often;swordfish ready pile
7;scratchy athwart afore;from ha;thunderbolt fine;browse chip frugal
8;ultimate profuse questioningly;carpool rewarding;internalize;waft ghost jaggedly
9;poorly yuck er;mmm;eek ack storyboard;aw after for
10;since;petticoat;design;warmly amongst
